state,dollars,n_payments,rows
AZ,66.18,3,3
CA,53.33,1,1
CO,18.62,1,1
FL,13.39,1,1
MD,18.21,1,1
NE,34.48,2,2
VA,14.86,1,1
WV,40.62,2,2
