state,dollars,n_payments,rows
CA,512.88,18,14
CT,31.1,2,2
MO,74.19,6,5
ND,14.2,1,1
NJ,68.51,4,4
NY,88.48,6,6
PA,32.21,2,2
TX,23.76,1,1
