state,dollars,n_payments,rows
FL,11.81,1,1
IL,20.92,2,2
KY,33.72,3,3
LA,69.98,1,1
MI,10.81,1,1
MO,149.94,9,9
NC,10.3,1,1
NV,10.58,1,1
OH,20.18,2,2
SC,12.67,1,1
TX,79.27,7,7
VA,37.14,3,3
