state,dollars,n_payments,rows
CA,144.98,8,8
IN,24.56,2,2
NC,37.27,3,3
OH,51.57,3,3
TN,10.47,1,1
TX,12.12,1,1
UT,22.2,2,2
VA,251.07,17,17
