state,dollars,n_payments,rows
CA,90.24,6,6
GA,137.82,4,4
IL,55.88,1,1
LA,237.69,4,4
MS,22.5,1,1
NV,16.64,1,1
NY,61.58,3,3
PA,63.06,1,1
SC,89.22,7,7
TN,126.13,2,2
TX,43.06,4,4
WI,48.87,1,1
